query,intent
"Shoulder pops when I lift",injury_advice
"I have carpal tunnel syndrome",injury_advice
"Is deadlifting bad for your spine?",injury_advice
"I dislocated my shoulder recently",injury_advice
"How to recover from a torn meniscus",injury_advice
"Safe exercises for cervical spondylosis",injury_advice
"What to do for a stiff neck",injury_advice
"I have chronic fatigue syndrome",injury_advice
"Is it safe to workout with a fever?",injury_advice
"How to fix bad posture",injury_advice
"What is my current goal?",user_profile
"Tell me my goal",user_profile
"Show my user profile",user_profile
"Analyze my last run",workout_analysis
"How did I do on my last run",workout_analysis
"Analyze my progress",workout_analysis
"Show me my next workout",workout_recommendation
"What is my workout today",workout_recommendation
"Recipe for post-workout",diet_plan
"Post workout meal recipe",diet_plan
"Give me a recipe",diet_plan
