Age,Height (cm),Weight (kg),BMI,Disease,Injury,Focus Goals,Profile Level,Gender,Day 1 - Sunday,Day 2 - Monday,Day 3 - Tuesday,Day 4 - Wednesday,Day 5 - Thursday,Day 6 - Friday,Day 7 - Saturday
51,152.8,53.1,22.74,Regular,Regular,Muscle Gain,Intermediate,Female,Rest & Recovery,"Skull Crushers, Machine Chest Press, Front Raise","Machine Row, Pull-Ups, Seated Cable Row","Hip Thrust, Leg Curl, Box Jumps","Skull Crushers, Cable Chest Fly, Incline Dumbbell Fly","Flutter Kicks, Wood Chops, Reverse Crunch","Step-Ups, Hack Squat, Cable Kickback"
36,152.6,86.6,37.19,Regular,Regular,Fat Loss,Intermediate,Female,Rest & Recovery,"Overhead Shoulder Press, Front Raise, Arnold Press","Leg Extension, Wall Sit, Lateral Band Walk","Incline Dumbbell Row, Band Pull-Apart, Wide-Grip Lat Pulldown","Pallof Press, Seated Calf Raise, Leg Extension","Bird Dog, High Knees, Stair Climbing","Dips, Dumbbell Row, Incline Dumbbell Fly"
60,167.5,81.6,29.08,Regular,Regular,Fat Loss,Intermediate,Female,Rest & Recovery,"Dumbbell Lateral Raise, Machine Chest Press, Overhead Shoulder Press","Barbell Squat, Seated Calf Raise, Hip Thrust","Chest-Supported Row, EZ Bar Curl, Machine Row","Side Plank, Step-Ups, Leg Press","Cycling Sprint, Dragon Flag, Leg Raises","Skull Crushers, Dumbbell Lateral Raise, Rear Delt Fly"
35,151.0,81.9,35.92,Regular,Regular,Fat Loss,Intermediate,Female,Rest & Recovery,"Decline Push-Ups, Skull Crushers, Overhead Shoulder Press","Cable Kickback, Hack Squat, Leg Curl","Wide-Grip Lat Pulldown, Cable Bicep Curl, Machine Row","Cable Crunch, Wall Sit, Dragon Flag","Russian Twists, Stair Climbing, Cable Crunch","Overhead Shoulder Press, Tricep Pushdown, Diamond Push-Ups"
42,172.1,83.0,28.02,Regular,Regular,Fat Loss,Beginner,Male,Rest & Recovery,"Dips, Machine Chest Press, Cable Chest Fly","Goblet Squat, Leg Curl, Hip Thrust","Barbell Bicep Curl, Machine Row, Seated Cable Row","Glute Bridge, Donkey Kicks, Dragon Flag","Hollow Body Hold, Wood Chops, Decline Sit-Ups","Push-Ups, Incline Dumbbell Row, Skull Crushers"
35,161.6,62.0,23.74,Menopause,Regular,Muscle Gain,Advance,Male,Rest & Recovery,"Tricep Overhead Extension, Cable Chest Fly, Dips, Overhead Shoulder Press","Machine Row, Barbell Bicep Curl, Cable Bicep Curl, Incline Dumbbell Row","Donkey Kicks, Cable Kickback, Lateral Band Walk, Glute Bridge","Decline Push-Ups, Incline Dumbbell Press, Diamond Push-Ups, Dumbbell Chest Press","Pallof Press, Wide-Grip Lat Pulldown, Lat Pulldown, Face Pulls","Leg Curl, Seated Calf Raise, Barbell Squat, Calf Raises"
53,169.7,64.7,22.47,Obesity,Bicep Tear,Muscle Gain,Beginner,Male,"Outer Thigh Machine, Barbell Squat, Supine Hamstring Stretch","Romanian Deadlift, Lateral Band Walk, Step-Ups","Outer Thigh Machine, Inner Thigh Machine, Seated Hip Flexor Stretch","Leg Press, Bulgarian Split Squat, Sumo Deadlift","Reverse Crunch, Wood Chops, Mountain Climbers","Seated Leg Curl, Box Jumps, Outer Thigh Machine",Rest & Recovery
48,181.3,67.7,20.6,Regular,Regular,Muscle Gain,Beginner,Male,Rest & Recovery,"Barbell Bench Press, Lateral Band Walk, Sumo Deadlift","Low-Impact Aerobics, Brisk Walking 30min, Dead Bug","Hack Squat, Leg Press, Wall Sit","Incline Dumbbell Fly, Close-Grip Bench Press, Russian Twists","Hack Squat, Cable Kickback, Chest-Supported Row",Rest & Recovery
54,162.7,84.4,31.88,Vertigo,Leg Fracture,Maintenance,Intermediate,Male,"Elliptical Trainer 20min, Light Swimming, Yoga 30min","Seated Face Pulls, Seated Dumbbell Press, Seated Shoulder Press","Low-Impact Aerobics, Stationary Cycling 20min, Elliptical Trainer 20min","Seated Cable Row, Chest-Supported Row, Seated Shoulder Press","Nordic Walking, Light Swimming, Breathing Exercises","Seated Arnold Press, Bicycle Crunches, Seated Face Pulls",Rest & Recovery
54,159.0,55.7,22.03,Regular,Regular,Maintenance,Advance,Female,Rest & Recovery,"Concentration Curl, Close-Grip Bench Press, Dumbbell Lateral Raise, Front Raise","Hack Squat, Sumo Deadlift, Donkey Kicks, Calf Raises","Plank, Pallof Press, Decline Sit-Ups, Slow Jogging 15min","Barbell Bicep Curl, Close-Grip Bench Press, Dips, Dumbbell Chest Press","Crunches, Side Plank, Wood Chops, Hanging Knee Raise","Low-Impact Aerobics, Breathing Exercises, Stretching Routine"
36,178.8,71.4,22.33,Regular,Regular,Maintenance,Beginner,Male,Rest & Recovery,"Preacher Curl, Face Pulls, Cable Chest Fly","Lateral Band Walk, Goblet Squat, Walking Lunges","Stationary Cycling 20min, Dead Bug, Gentle Yoga","Rear Delt Fly, Diamond Push-Ups, Cable Chest Fly","Barbell Squat, Hip Thrust, Dead Bug","Nordic Walking, Light Swimming, Stationary Cycling 20min"
37,155.9,46.6,19.17,Insomnia,Tailbone Pain,Muscle Gain,Beginner,Female,"Tricep Pushdown, Face Pulls, Chest-Supported Row","Hip Abduction Machine, Lying Glute Bridge, Leg Press","Seated Arnold Press, Seated Cable Row, Seated Lat Pulldown","Lat Pulldown, Lying Glute Bridge, Chest-Supported Row","Plank, Russian Twists, Bicycle Crunches","Nordic Walking, Lat Pulldown, Yoga 30min",Rest & Recovery
39,177.5,65.0,20.63,Regular,Regular,Muscle Gain,Advance,Male,Rest & Recovery,"Diamond Push-Ups, Dumbbell Lateral Raise, Skull Crushers, Tricep Overhead Extension","Band Pull-Apart, Face Pulls, EZ Bar Curl, Reverse Fly","Romanian Deadlift, Box Jumps, Leg Curl, Lateral Band Walk","Tricep Overhead Extension, Dumbbell Lateral Raise, Skull Crushers, Dips","Wide-Grip Lat Pulldown, Mountain Climbers, Pull-Ups, Band Pull-Apart","Cable Kickback, Bulgarian Split Squat, Romanian Deadlift, Glute Bridge"
28,153.0,64.9,27.72,Regular,Tailbone Pain,Maintenance,Beginner,Female,"Face Pulls, Seated Bicep Curl, Seated Dumbbell Press","Seated Leg Extension, Lying Glute Bridge, Seated Leg Curl","Seated Arnold Press, Seated Bicep Curl, Cable Chest Fly","Leg Press, Seated Bicep Curl, Seated Cable Row","Russian Twists, Crunches, Plank","Gentle Yoga, Slow Jogging 15min, Seated Dumbbell Press",Rest & Recovery
30,152.6,64.0,27.48,Constipation,Patella Injury,Maintenance,Advance,Female,"Tricep Pushdown, Close-Grip Bench Press, Dumbbell Lateral Raise, Overhead Shoulder Press","Lat Pulldown, Barbell Bicep Curl, Machine Row, EZ Bar Curl","Pallof Press, Hollow Body Hold, Bicycle Crunches, Crunches","Tricep Overhead Extension, Lat Pulldown, T-Bar Row, Incline Dumbbell Fly","Seated Lat Pulldown, Machine Chest Press, Seated Face Pulls, Seated Tricep Extension","Reverse Crunch, V-Ups, Reverse Fly, Hammer Curl",Rest & Recovery
23,162.9,54.8,20.65,Stress,Regular,Maintenance,Advance,Female,Rest & Recovery,"Hammer Curl, Dumbbell Lateral Raise, Cable Chest Fly, Dips","Box Jumps, Cable Kickback, Step-Ups, Romanian Deadlift","Stretching Routine, Plank, Bird Dog, Ab Wheel Rollout","Cable Chest Fly, Overhead Shoulder Press, Wide-Grip Lat Pulldown, Front Raise","Bicycle Crunches, Russian Twists, Leg Extension, Glute Bridge","Breathing Exercises, Brisk Walking 30min, Aqua Aerobics"
35,164.5,66.2,24.46,Regular,Heel Pain,Maintenance,Beginner,Female,"Diamond Push-Ups, Overhead Shoulder Press, Dumbbell Lateral Raise","Lat Pulldown, EZ Bar Curl, Barbell Bicep Curl","Wood Chops, Russian Twists, Pallof Press","Machine Chest Press, Chest-Supported Row, Close-Grip Bench Press","Resistance Band Rows, Chest-Supported Row, Seated Tricep Extension","Hanging Knee Raise, Dead Bug, Dragon Flag",Rest & Recovery
33,173.5,83.6,27.77,Post Pregnancy Weakness,Leg Fracture,Maintenance,Intermediate,Male,"Incline Dumbbell Press, Incline Dumbbell Fly, Tricep Pushdown","Machine Row, EZ Bar Curl, T-Bar Row","Hollow Body Hold, Russian Twists, Decline Sit-Ups","Chest-Supported Row, Bent-Over Barbell Row, Overhead Shoulder Press","Resistance Band Rows, Seated Bicep Curl, Seated Lat Pulldown","T-Bar Row, Mountain Climbers, Face Pulls",Rest & Recovery
24,177.3,63.8,20.3,Regular,Regular,Muscle Gain,Intermediate,Male,Rest & Recovery,"Tricep Overhead Extension, Tricep Pushdown, Decline Push-Ups","Reverse Fly, Rear Delt Fly, Band Pull-Apart","Leg Curl, Sumo Deadlift, Walking Lunges","Barbell Bench Press, Close-Grip Bench Press, Dumbbell Lateral Raise","Incline Dumbbell Row, Hanging Knee Raise, Wide-Grip Lat Pulldown","Bulgarian Split Squat, Leg Press, Barbell Squat"
19,167.1,83.6,29.94,Regular,Finger Fracture,Fat Loss,Advance,Male,"Glute Bridge, Goblet Squat, Outer Thigh Machine, Seated Hip Flexor Stretch","Leg Press, Romanian Deadlift, Lateral Band Walk, Glute Bridge","Inner Thigh Machine, Seated Hip Flexor Stretch, Seated Leg Curl, Seated Calf Raise","Donkey Kicks, Leg Curl, Goblet Squat, Wall Sit","Mountain Climbers, Hanging Knee Raise, Plank, Side Plank","Lateral Band Walk, Supine Hamstring Stretch, Box Jumps, Hack Squat",Rest & Recovery
24,167.1,61.6,22.06,Regular,Regular,Muscle Gain,Advance,Male,Rest & Recovery,"Close-Grip Bench Press, Front Raise, Dumbbell Chest Press, Push-Ups","EZ Bar Curl, Wide-Grip Lat Pulldown, Barbell Bicep Curl, Machine Row","Donkey Kicks, Hack Squat, Leg Press, Cable Kickback","Front Raise, Tricep Pushdown, Diamond Push-Ups, Dips","Machine Row, Dead Bug, Side Plank, Mountain Climbers","Box Jumps, Hack Squat, Leg Press, Sumo Deadlift"
21,166.5,67.0,24.17,Regular,Pelvic Injury,Fat Loss,Beginner,Female,"Decline Push-Ups, Diamond Push-Ups, Overhead Shoulder Press","Preacher Curl, Dumbbell Row, Reverse Fly","Side Plank, Pallof Press, Dragon Flag","Wide-Grip Lat Pulldown, Seated Cable Row, Skull Crushers","Resistance Band Rows, Seated Tricep Extension, Seated Shoulder Press","Bent-Over Barbell Row, Band Pull-Apart, Pallof Press",Rest & Recovery
22,161.1,71.7,27.63,Regular,Regular,Fat Loss,Intermediate,Female,Rest & Recovery,"Incline Dumbbell Fly, Front Raise, Tricep Overhead Extension","Leg Press, Calf Raises, Leg Curl","Concentration Curl, Reverse Fly, Band Pull-Apart","Goblet Squat, Pallof Press, Cable Kickback","Treadmill Running 20min, Burpees, Cycling Sprint","Pull-Ups, Seated Cable Row, Bent-Over Barbell Row"
17,161.5,101.7,38.99,Acidity,Regular,Fat Loss,Beginner,Male,Rest & Recovery,"Decline Push-Ups, Cable Lateral Raise, Tricep Pushdown","Box Jumps, Hack Squat, Glute Bridge","Hammer Curl, Face Pulls, Preacher Curl","Wall Sit, Plank, Bird Dog","Mountain Climbers, HIIT Sprints, Pallof Press","Overhead Shoulder Press, Cable Chest Fly, Dumbbell Chest Press"
33,170.7,68.6,23.54,Acidity,Regular,Muscle Gain,Beginner,Male,Rest & Recovery,"Diamond Push-Ups, Hack Squat, Skull Crushers","Stretching Routine, Low-Impact Aerobics, Russian Twists","Band Pull-Apart, Cable Kickback, Step-Ups","Diamond Push-Ups, Decline Sit-Ups, Crunches","Glute Bridge, Face Pulls, Band Pull-Apart",Rest & Recovery
36,163.0,86.2,32.44,Regular,Pulled Muscle,Fat Loss,Beginner,Male,Rest & Recovery,"Overhead Shoulder Press, Barbell Bench Press, Machine Chest Press","Hack Squat, Bulgarian Split Squat, Walking Lunges","Cable Bicep Curl, Reverse Fly, T-Bar Row","V-Ups, Wood Chops, Crunches","HIIT Sprints, Crunches, Dragon Flag","Decline Push-Ups, Incline Dumbbell Row, Incline Dumbbell Press"
42,159.5,62.2,24.45,Depression,Regular,Maintenance,Advance,Female,Rest & Recovery,"Tricep Overhead Extension, Skull Crushers, Rear Delt Fly, Incline Dumbbell Press","Sumo Deadlift, Bulgarian Split Squat, Glute Bridge, Step-Ups","Leg Raises, Breathing Exercises, Dead Bug, Wood Chops","Skull Crushers, Front Raise, Arnold Press, Diamond Push-Ups","Bulgarian Split Squat, Leg Raises, Wall Sit, Side Plank","Elliptical Trainer 20min, Stretching Routine, Light Swimming"
62,179.9,66.4,20.52,Heart Disease,Regular,Muscle Gain,Beginner,Male,"Nordic Walking, Light Swimming, Elliptical Trainer 20min","Seated Cable Row, Machine Chest Press, Seated Bicep Curl","Elliptical Trainer 20min, Light Swimming, Aqua Aerobics","Machine Chest Press, Cable Chest Fly, Seated Cable Row","Light Swimming, Nordic Walking, Breathing Exercises","Crunches, Leg Raises, Cable Chest Fly",Rest & Recovery
19,154.1,73.2,30.83,Regular,Meniscus Tear,Fat Loss,Beginner,Female,"Incline Dumbbell Fly, Cable Lateral Raise, Decline Push-Ups","Barbell Bicep Curl, Machine Row, Band Pull-Apart","Side Plank, Decline Sit-Ups, Hollow Body Hold","Tricep Overhead Extension, Dumbbell Lateral Raise, Arnold Press","Seated Arnold Press, Seated Shoulder Press, Seated Face Pulls","Bicycle Crunches, Mountain Climbers, Dragon Flag",Rest & Recovery
25,167.1,69.4,24.85,IBS,Regular,Muscle Gain,Advance,Male,Rest & Recovery,"Incline Dumbbell Press, Dips, Overhead Shoulder Press, Dumbbell Chest Press","Seated Cable Row, Wide-Grip Lat Pulldown, Face Pulls, Lat Pulldown","Leg Curl, Glute Bridge, Seated Calf Raise, Donkey Kicks","Cable Lateral Raise, Arnold Press, Incline Dumbbell Fly, Tricep Overhead Extension","Band Pull-Apart, Bicycle Crunches, Dead Bug, Side Plank","Wall Sit, Goblet Squat, Sumo Deadlift, Romanian Deadlift"
54,162.5,84.7,32.08,Regular,Regular,Fat Loss,Intermediate,Female,Rest & Recovery,"Dumbbell Lateral Raise, Dumbbell Chest Press, Decline Push-Ups","Seated Calf Raise, Walking Lunges, Step-Ups","Barbell Bicep Curl, Cable Bicep Curl, Dumbbell Row","Pallof Press, Bulgarian Split Squat, Wall Sit","Ab Wheel Rollout, Crunches, Flutter Kicks","Seated Cable Row, Close-Grip Bench Press, Machine Row"
29,168.0,62.3,22.07,Regular,Regular,Muscle Gain,Intermediate,Male,Rest & Recovery,"Dumbbell Chest Press, Machine Chest Press, Tricep Pushdown","T-Bar Row, Dumbbell Row, Band Pull-Apart","Romanian Deadlift, Hip Thrust, Leg Press","Cable Lateral Raise, Front Raise, Tricep Overhead Extension","Seated Cable Row, Side Plank, Decline Sit-Ups","Walking Lunges, Box Jumps, Wall Sit"
18,179.9,101.1,31.24,Insomnia,Quad Injury,Fat Loss,Intermediate,Male,"Diamond Push-Ups, Incline Dumbbell Fly, Skull Crushers","Machine Row, Barbell Bicep Curl, EZ Bar Curl","Ab Wheel Rollout, Dragon Flag, Decline Sit-Ups","Pull-Ups, Preacher Curl, Push-Ups","Seated Tricep Extension, Cable Chest Fly, Seated Arnold Press","Cable Crunch, Mountain Climbers, Band Pull-Apart",Rest & Recovery
32,152.0,57.1,24.71,Regular,Achilles Injury,Muscle Gain,Intermediate,Female,"Incline Dumbbell Press, Machine Chest Press, Incline Dumbbell Fly","Reverse Fly, Bent-Over Barbell Row, Wide-Grip Lat Pulldown","Russian Twists, Mountain Climbers, Crunches","Dumbbell Chest Press, Front Raise, Barbell Bicep Curl","Seated Face Pulls, Machine Chest Press, Resistance Band Rows","Face Pulls, Machine Row, Cable Crunch",Rest & Recovery
